"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","method2","method2, method3","method3","method3, method4_Chi2","method4_Chi2","method5_MVN","n"
"71",39,"(0.2, 0.4)",0.2,"(0.5, 1.5)",1,"(0.1, 0.05)",-0.05,"80% (n = 241)","0%","0%","0%","20% (n = 59)","0%",300
"72",19,"(0.2, 0.4)",0.2,"(0.5, 1.5)",1,"(0.1, 0.07)",-0.03,"100% (n = 300)","0%","0%","0%","0%","0%",300
"73",59,"(0.2, 0.4)",0.2,"(0.5, 1.5)",1,"(0.1, 0.1)",0,"41% (n = 124)","0%","59% (n = 176)","0%","0%","0%",300
"74",79,"(0.2, 0.4)",0.2,"(0.5, 1.5)",1,"(0.07, 0.1)",0.03,"0%","0%","96% (n = 288)","0%","0%","4% (n = 12)",300
"75",99,"(0.2, 0.4)",0.2,"(0.5, 1.5)",1,"(0.05, 0.1)",0.05,"0%","0%","85% (n = 254)","0%","1% (n = 2)","15% (n = 44)",300
"76",28,"(0.1, 0.4)",0.3,"(1.5, 0.5)",-1,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","100% (n = 300)","0%",300
"77",8,"(0.1, 0.4)",0.3,"(1.5, 0.5)",-1,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","100% (n = 300)","0%",300
"78",48,"(0.1, 0.4)",0.3,"(1.5, 0.5)",-1,"(0.1, 0.1)",0,"0%","0%","0%","0%","100% (n = 300)","0%",300
"79",68,"(0.1, 0.4)",0.3,"(1.5, 0.5)",-1,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","100% (n = 300)","0%",300
"80",88,"(0.1, 0.4)",0.3,"(1.5, 0.5)",-1,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","100% (n = 300)","0%",300
"81",24,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","100% (n = 300)","0%",300
"82",4,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","100% (n = 300)","0%",300
"83",44,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0%","0%","0%","0%","100% (n = 300)","0%",300
"84",64,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","100% (n = 300)","0%",300
"85",84,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","100% (n = 300)","0%",300
"86",32,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","100% (n = 300)","0%",300
"87",12,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","100% (n = 300)","0%",300
"88",52,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.1)",0,"0%","0%","0%","0%","100% (n = 300)","0%",300
"89",72,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.07, 0.1)",0.03,"16% (n = 49)","0%","0%","0%","84% (n = 251)","0%",300
"90",92,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.05, 0.1)",0.05,"47% (n = 142)","0%","0%","0%","53% (n = 158)","0%",300
"91",36,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","100% (n = 300)","0%",300
"92",16,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.07)",-0.03,"21% (n = 64)","0%","0%","0%","79% (n = 236)","0%",300
"93",56,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"60% (n = 180)","0%","0%","0%","40% (n = 120)","0%",300
"94",76,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.07, 0.1)",0.03,"62% (n = 186)","0%","0%","0%","38% (n = 114)","0%",300
"95",96,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"64% (n = 193)","0%","0%","0%","36% (n = 107)","0%",300
"96",40,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.1, 0.05)",-0.05,"39% (n = 116)","0%","0%","0%","61% (n = 184)","0%",300
"97",20,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.1, 0.07)",-0.03,"60% (n = 180)","0%","0%","0%","40% (n = 120)","0%",300
"98",60,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.1, 0.1)",0,"80% (n = 240)","0%","0%","0%","20% (n = 60)","0%",300
"99",80,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.07, 0.1)",0.03,"81% (n = 242)","0%","0%","0%","19% (n = 58)","0%",300
"100",100,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.05, 0.1)",0.05,"80% (n = 241)","0%","0%","0%","20% (n = 59)","0%",300
