"","group_id","eff1eff2","eff2minus1","rho01rho02","rho02minus01","method2","method2, method3","method2, method4_F","method2, method5_T","method3","method3, method4_F","method4_F","method5_T","n"
"53",33,"(0.2, 0.4)",0.2,"(0.1, 0.1)",0,"0%","84.67% (n = 254)","0%","0%","0%","0%","15.33% (n = 46)","0%",300
"54",34,"(0.2, 0.4)",0.2,"(0.07, 0.1)",0.03,"87.67% (n = 263)","0%","0%","0%","0%","0%","12% (n = 36)","0.33% (n = 1)",300
"55",35,"(0.2, 0.4)",0.2,"(0.05, 0.1)",0.05,"83.33% (n = 250)","0%","0%","0%","0%","0%","13.67% (n = 41)","3% (n = 9)",300
"56",67,"(0.33, 0.57)",0.24,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","52% (n = 156)","0%","48% (n = 144)","0%",300
"57",66,"(0.33, 0.57)",0.24,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","67.33% (n = 202)","0%","32.67% (n = 98)","0%",300
"58",68,"(0.33, 0.57)",0.24,"(0.1, 0.1)",0,"0%","0%","0%","0%","91.33% (n = 274)","0%","8.67% (n = 26)","0%",300
"59",69,"(0.33, 0.57)",0.24,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","91.67% (n = 275)","0%","6% (n = 18)","2.33% (n = 7)",300
"60",70,"(0.33, 0.57)",0.24,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","85% (n = 255)","0%","6.33% (n = 19)","8.67% (n = 26)",300
"61",22,"(0.14, 0.4)",0.26,"(0.1, 0.05)",-0.05,"22.33% (n = 67)","0%","0%","0%","0%","0%","77.67% (n = 233)","0%",300
"62",21,"(0.14, 0.4)",0.26,"(0.1, 0.07)",-0.03,"54% (n = 162)","0%","0%","0%","0%","0%","46% (n = 138)","0%",300
"63",23,"(0.14, 0.4)",0.26,"(0.1, 0.1)",0,"71.33% (n = 214)","0%","0.33% (n = 1)","0%","0%","0%","28.33% (n = 85)","0%",300
"64",24,"(0.14, 0.4)",0.26,"(0.07, 0.1)",0.03,"75% (n = 225)","0%","0%","0%","0%","0%","25% (n = 75)","0%",300
"65",25,"(0.14, 0.4)",0.26,"(0.05, 0.1)",0.05,"74.33% (n = 223)","0%","0%","0%","0%","0%","25.67% (n = 77)","0%",300
"66",62,"(0.3, 0.57)",0.27,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","41.33% (n = 124)","0.67% (n = 2)","58% (n = 174)","0%",300
"67",61,"(0.3, 0.57)",0.27,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","64% (n = 192)","0%","36% (n = 108)","0%",300
"68",63,"(0.3, 0.57)",0.27,"(0.1, 0.1)",0,"0%","0%","0%","0%","84.67% (n = 254)","0%","15.33% (n = 46)","0%",300
"69",64,"(0.3, 0.57)",0.27,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","87.33% (n = 262)","0%","12.67% (n = 38)","0%",300
"70",65,"(0.3, 0.57)",0.27,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","83% (n = 249)","0%","13.33% (n = 40)","3.67% (n = 11)",300
"71",7,"(0.1, 0.4)",0.3,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","6% (n = 18)","0%","94% (n = 282)","0%",300
"72",6,"(0.1, 0.4)",0.3,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","12.67% (n = 38)","0%","87.33% (n = 262)","0%",300
"73",8,"(0.1, 0.4)",0.3,"(0.1, 0.1)",0,"0%","24.67% (n = 74)","0%","0%","0%","0%","75.33% (n = 226)","0%",300
"74",9,"(0.1, 0.4)",0.3,"(0.07, 0.1)",0.03,"51% (n = 153)","0%","0.33% (n = 1)","0%","0%","0%","48.67% (n = 146)","0%",300
"75",10,"(0.1, 0.4)",0.3,"(0.05, 0.1)",0.05,"59% (n = 177)","0%","0%","0%","0%","0%","41% (n = 123)","0%",300
"76",42,"(0.24, 0.57)",0.33,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","22.67% (n = 68)","0%","77.33% (n = 232)","0%",300
"77",41,"(0.24, 0.57)",0.33,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","41.33% (n = 124)","0.33% (n = 1)","58.33% (n = 175)","0%",300
"78",43,"(0.24, 0.57)",0.33,"(0.1, 0.1)",0,"0%","0%","0%","0%","66.67% (n = 200)","0%","33.33% (n = 100)","0%",300
"79",44,"(0.24, 0.57)",0.33,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","69.33% (n = 208)","0%","30.67% (n = 92)","0%",300
"80",45,"(0.24, 0.57)",0.33,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","72.33% (n = 217)","0%","27.67% (n = 83)","0%",300
"81",37,"(0.2, 0.57)",0.37,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","12.67% (n = 38)","0%","87.33% (n = 262)","0%",300
