"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","method2","method2, method3","method2, method4_F","method2, method5_T","method3","method3, method4_F","method4_F","method4_F, method5_T","method5_T","n"
"57",3,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","23% (n = 69)","0%","77% (n = 231)","0%","0%",300
"58",43,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0%","0%","0%","0%","47% (n = 141)","0%","53% (n = 159)","0%","0%",300
"59",63,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","59% (n = 177)","0% (n = 1)","41% (n = 122)","0%","0%",300
"60",83,"(0.2, 0.4)",0.2,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","63% (n = 188)","0%","37% (n = 112)","0%","0%",300
"61",31,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","46% (n = 138)","0%","54% (n = 162)","0%","0%",300
"62",11,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","64% (n = 192)","0%","36% (n = 108)","0%","0%",300
"63",51,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.1, 0.1)",0,"0%","85% (n = 254)","0%","0%","0%","0%","15% (n = 46)","0%","0%",300
"64",71,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.07, 0.1)",0.03,"88% (n = 263)","0%","0%","0%","0%","0%","12% (n = 36)","0%","0% (n = 1)",300
"65",91,"(0.2, 0.4)",0.2,"(1, 1)",0,"(0.05, 0.1)",0.05,"83% (n = 250)","0%","0%","0%","0%","0%","13% (n = 40)","0% (n = 1)","3% (n = 9)",300
"66",35,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"69% (n = 207)","0%","0%","0%","0%","0%","31% (n = 93)","0%","0%",300
"67",15,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.1, 0.07)",-0.03,"90% (n = 271)","0%","0%","0%","0%","0%","9% (n = 28)","0%","0% (n = 1)",300
"68",55,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"100% (n = 300)","0%","0%","0%","0%","0%","0%","0%","0%",300
"69",75,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.07, 0.1)",0.03,"83% (n = 250)","0%","0%","0%","11% (n = 32)","0%","0%","0%","6% (n = 18)",300
